,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
1,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PPC,2021-06-01,50,13,0.35833333333333334,-164.15071667734702,-137.83770520273762,-178.7859,-156.55258,19.696739909176603,408,True,163.0,54.0
2,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,CA1,2021-06-01,54,1,0.35833333333333334,-157.99001513473996,-133.14205144839738,-168.6949,-139.91098,13.599018163327345,408,True,163.0,54.0
3,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,DG,2021-06-01,58,3,0.35833333333333334,-151.66643388252615,-126.84186049722175,-154.7246,-122.454216,15.541406539716228,408,True,163.0,54.0
4,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,LP,2021-06-01,56,33,0.35833333333333334,-179.38366453370512,-158.2856638710377,-169.98792,-137.67625,24.56046619072898,408,True,163.0,54.0
5,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PO,2021-06-01,46,45,0.35833333333333334,-183.06938227634075,-166.3154677335206,-171.76743,-139.7224,25.64384245922792,408,True,163.0,54.0
6,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PPC,2021-08-02,0,0,0.08787878787878788,,,-171.76743,-139.7224,0.0,772,True,181.0,68.0
7,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,CA1,2021-08-02,28,1,0.08787878787878788,-164.3416911472131,-138.50682421475287,-157.66438,-138.35657,17.4047938585874,772,True,181.0,68.0
8,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,DG,2021-08-02,72,2,0.08787878787878788,-160.21900014410997,-136.50446782175618,-154.76962,-132.81989,18.392781528455096,772,True,181.0,68.0
9,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,LP,2021-08-02,0,0,0.08787878787878788,,,-154.76962,-132.81989,0.0,772,True,181.0,68.0
10,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PO,2021-08-02,0,0,0.08787878787878788,,,-154.76962,-132.81989,0.0,772,True,181.0,68.0
11,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,PPC,2020-10-05,46,28,0.3960674157303371,-170.044099623859,-141.04446367866328,-184.58458,-150.10147,13.778848911583328,571,True,146.0,50.0
12,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,CA1,2020-10-05,56,8,0.3960674157303371,-158.5513286528806,-130.44298253122884,-166.22807,-132.07951,16.420005958827765,571,True,146.0,50.0
13,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,DG,2020-10-05,70,6,0.3960674157303371,-153.14490007055292,-128.33398371487493,-155.58247,-125.47493,16.227814768536927,571,True,146.0,50.0
14,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,LP,2020-10-05,56,35,0.3960674157303371,-184.4376960420146,-158.42156859188907,-176.04083,-142.89763,16.865475008690566,571,True,146.0,50.0
15,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,PO,2020-10-05,46,38,0.3960674157303371,-189.7085976627729,-168.16733507758906,-180.62053,-147.70949,19.23674674378339,571,True,146.0,50.0
16,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,PPC,2023-06-05,0,0,0.10946745562130178,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
17,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,CA1,2023-06-05,0,0,0.10946745562130178,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
18,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,DG,2023-06-05,0,0,0.10946745562130178,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
19,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,LP,2023-06-05,0,0,0.10946745562130178,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
20,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,PO,2023-06-05,0,0,0.10946745562130178,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
21,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PPC,2021-11-16,0,0,0.18387096774193548,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
22,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,CA1,2021-11-16,0,0,0.18387096774193548,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
23,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,DG,2021-11-16,0,0,0.18387096774193548,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
24,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,LP,2021-11-16,0,0,0.18387096774193548,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
25,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PO,2021-11-16,0,0,0.18387096774193548,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
26,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,PPC,2023-08-16,0,0,0.21052631578947367,,,-180.62053,-147.70949,0.0,620,True,169.0,57.0
27,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,CA1,2023-08-16,0,0,0.21052631578947367,,,-180.62053,-147.70949,0.0,620,True,169.0,57.0
28,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,DG,2023-08-16,2,0,0.21052631578947367,-167.99400219980794,-141.86814389292317,-163.1917,-130.98915,9.35349326292702,620,True,169.0,57.0
29,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,LP,2023-08-16,0,0,0.21052631578947367,,,-163.1917,-130.98915,0.0,620,True,169.0,57.0
30,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,PO,2023-08-16,0,0,0.21052631578947367,,,-163.1917,-130.98915,0.0,620,True,169.0,57.0
31,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PPC,2021-05-19,42,4,0.2514124293785311,-165.55387024034692,-136.0045594653167,-179.61028,-146.18665,20.56324430335885,733,True,150.0,46.0
32,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,CA1,2021-05-19,56,0,0.2514124293785311,-155.36767781866084,-125.79160962168294,-157.08482,-120.05952,15.844562602092255,733,True,150.0,46.0
33,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,DG,2021-05-19,52,6,0.2514124293785311,-156.10752817730946,-133.56131972229707,-152.49742,-123.05541,17.640394039547555,733,True,150.0,46.0
34,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,LP,2021-05-19,60,22,0.2514124293785311,-185.7222994969678,-163.65256568654297,-170.04773,-137.73196,20.443340128017745,733,True,150.0,46.0
35,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PO,2021-05-19,94,52,0.2514124293785311,-185.29928089672032,-170.12471004204636,-172.57938,-141.22655,25.713870796019563,733,True,150.0,46.0
36,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,PPC,2022-03-31,0,0,0.23121387283236994,,,-172.57938,-141.22655,0.0,610,True,380.0,185.0
37,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,CA1,2022-03-31,56,6,0.23121387283236994,-162.84592682356978,-136.55106285022472,-156.84935,-129.3346,12.50208562016101,610,True,380.0,185.0
38,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,DG,2022-03-31,66,5,0.23121387283236994,-154.91821849915394,-130.62977328652966,-151.93335,-123.63694,13.781855134718063,610,True,380.0,185.0
39,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,LP,2022-03-31,18,8,0.23121387283236994,-184.29711507754777,-159.67655835215172,-159.84348,-133.5742,14.891297336720283,610,True,380.0,185.0
