,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
18,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,DG,2023-06-05,0,0,0.23372781065088757,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
19,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,LP,2023-06-05,0,0,0.23372781065088757,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
20,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,probe00,hausserlab,PL050,UCL (H),Lab 11,PO,2023-06-05,0,0,0.23372781065088757,,,-180.62053,-147.70949,0.0,874,True,111.0,36.0
21,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PPC,2021-11-16,0,0,0.3903225806451613,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
22,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,CA1,2021-11-16,0,0,0.3903225806451613,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
23,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,DG,2021-11-16,0,0,0.3903225806451613,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
24,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,LP,2021-11-16,0,0,0.3903225806451613,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
25,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PO,2021-11-16,0,0,0.3903225806451613,,,-180.62053,-147.70949,0.0,665,True,245.0,107.0
26,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,PPC,2023-08-16,0,0,0.34210526315789475,,,-180.62053,-147.70949,0.0,620,True,169.0,57.0
27,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,CA1,2023-08-16,0,0,0.34210526315789475,,,-180.62053,-147.70949,0.0,620,True,169.0,57.0
