,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
17,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,CA1,2020-11-24,58,0.0,,,,,,,-139.94792,-168.9518,"[2, 15]","[20, 80]",18.969711,18.6
18,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,DG,2020-11-24,72,6.0,0.2973487077133401,5.969455997441904,160.49141394766596,249.90234374999994,0.5115653395793107,20.80252558106862,-129.05652,-157.88966,"[2, 15]","[20, 80]",22.186142,18.6
19,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,LP,2020-11-24,66,21.0,3.2404362650768537,3.2196095587521696,128.51751375823687,139.70588235294116,0.400825865904194,17.348421716505214,-144.83084,-175.05879,"[2, 15]","[20, 80]",19.362812,18.6
20,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,PO,2020-11-24,56,19.0,2.7791044847696784,3.126258857301255,145.27463484136808,,0.40760008830729466,20.68504043634094,-146.54651,-177.34273,"[2, 15]","[20, 80]",20.833027,18.6
21,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,PPC,2020-01-22,52,13.0,0.3490035775314348,1.0201643035534245,237.67764072135657,433.55926724137885,0.4431243175976115,35.49680772041665,-146.83273,-181.12917,"[2, 15]","[20, 80]",19.055487,21.4
22,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,CA1,2020-01-22,46,11.0,0.41900661395223276,0.8031956377981675,154.67603880494505,,0.5584326582929438,32.32533482142858,-138.52853,-169.12196,"[2, 15]","[20, 80]",19.469904,21.4
23,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,DG,2020-01-22,30,2.0,6.726563444746443,6.726563444746443,211.47838115650418,265.44228687341433,0.39106067219187207,25.554635557912704,-125.17042,-157.5085,"[2, 15]","[20, 80]",25.167746,21.4
24,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,LP,2020-01-22,54,0.0,,,,,,,-155.53407,-183.93803,"[2, 15]","[20, 80]",19.114235,21.4
25,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,PO,2020-01-22,2,0.0,,,,,,,-155.91487,-184.19353,"[2, 15]","[20, 80]",23.454868,21.4
26,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,PPC,2021-06-08,64,4.0,2.132567363502446,6.454379180588017,144.78965147365463,198.94029850746267,0.4856345880891758,19.555719036064275,-149.66661,-165.77777,"[2, 15]","[20, 80]",3826712.5,21.0
27,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,CA1,2021-06-08,52,2.0,4.660355783850982,4.660355783850982,136.99642319277103,139.60137424698792,0.4013448665398104,17.740493222891562,-133.54666,-156.21228,"[2, 15]","[20, 80]",4240013.5,21.0
