,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
16,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,PPC,2020-11-24,68,1.0,1.2687192068679838,1.2687192068679838,99.10714285714286,99.10714285714286,0.44218657159833646,13.895089285714276,-163.28883,-190.15108,"[2, 15]","[20, 80]",3962540.0,18.6
17,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,CA1,2020-11-24,58,1.0,10.647914442800314,10.647914442800314,113.14655172413799,113.14655172413799,0.3990935750466537,12.819908405172407,-139.94792,-168.9518,"[2, 15]","[20, 80]",6397578.0,18.6
18,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,DG,2020-11-24,72,4.0,0.6085363080004886,4.593822610852032,128.03233130107253,166.0014204545454,0.4748579558298762,17.123160591164453,-129.05652,-157.88966,"[2, 15]","[20, 80]",5379665.0,18.6
19,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,LP,2020-11-24,66,24.0,2.9002720584345583,4.033618722539497,120.97740167888036,147.07007495777023,0.4266876544605844,15.634628284007464,-144.83084,-175.05879,"[2, 15]","[20, 80]",6573568.5,18.6
20,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,PO,2020-11-24,56,26.0,3.3792560530576825,3.2657207203922374,120.16661385815127,145.09277343749997,0.4378320541625954,15.993913053439456,-146.54651,-177.34273,"[2, 15]","[20, 80]",6819988.5,18.6
21,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,PPC,2020-01-22,52,18.0,1.5300550012921834,1.8147323421019326,187.06909533956156,,0.5028440596028013,25.915187068071592,-146.83273,-181.12917,"[2, 15]","[20, 80]",5465768.0,21.4
22,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,CA1,2020-01-22,46,12.0,0.39209872297576875,0.9895198680533142,185.95583142780333,222.7627840909091,0.4936930245689088,26.006890926291984,-138.52853,-169.12196,"[2, 15]","[20, 80]",5191971.0,21.4
23,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,DG,2020-01-22,30,4.0,6.583232351675466,6.610495149880308,191.8184481625928,197.6072257303713,0.48568899965625745,25.77533072463149,-125.17042,-157.5085,"[2, 15]","[20, 80]",5541350.0,21.4
24,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,LP,2020-01-22,54,2.0,5.3398666643444095,5.3398666643444095,204.79482518564353,229.1318262685643,0.5010436256319268,26.86586285581682,-155.53407,-183.93803,"[2, 15]","[20, 80]",6541227.5,21.4
25,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,PO,2020-01-22,2,0.0,,,,,,,-155.91487,-184.19353,"[2, 15]","[20, 80]",7868900.5,21.4
