,eid,probe,lab,subject,region,date,n_channels,neuron_yield,firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
23,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,DG,2020-09-16,75,0.0,,,,,,-122.408005,-153.6753,"[2, 15]","[20, 80]",25.943104
24,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,LP,2020-09-16,82,66.0,4.3920948668239745,217.23798395099234,548.2152478448276,0.5392262085025692,29.60076199185017,-138.96284,-169.92107,"[2, 15]","[20, 80]",22.501345
25,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,PO,2020-09-16,69,67.0,5.498118914749509,203.89016816772173,404.7840844131096,0.4842706096693528,29.1461276054661,-142.13678,-172.92078,"[2, 15]","[20, 80]",23.936598
26,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,VISa,2021-01-21,0,,,,,,,,,"[2, 15]","[20, 80]",
27,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,CA1,2021-01-21,64,2.0,1.2389146267391975,90.77405427631575,103.38867187499999,0.5347276712950922,,-150.79793,-176.4643,"[2, 15]","[20, 80]",20.673073
28,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,DG,2021-01-21,45,2.0,1.5582405094057794,76.30974264705877,78.72931985294116,0.6140644460140352,13.166360294117622,-138.25691,-162.33105,"[2, 15]","[20, 80]",20.132666
29,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,LP,2021-01-21,10,0.0,,,,,,-151.05255,-175.54561,"[2, 15]","[20, 80]",18.535606
30,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,PO,2021-01-21,0,,,,,,,,,"[2, 15]","[20, 80]",
31,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,VISa,2020-07-07,98,49.0,4.982461066933525,115.63127040391689,184.14950284090884,0.4502821628773293,19.03255214484955,-153.6652,-183.19435,"[2, 15]","[20, 80]",16.202522
32,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CA1,2020-07-07,45,4.0,7.5071123461928355,148.7976132535647,197.23117618110234,0.4770677425131872,29.885350911297383,-137.0217,-165.16534,"[2, 15]","[20, 80]",18.651108
33,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,DG,2020-07-07,47,2.0,5.477759053373311,109.39302884615385,138.23737980769235,0.6718328066341487,25.997596153846,-121.80165,-152.76382,"[2, 15]","[20, 80]",23.380363
34,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,LP,2020-07-07,68,59.0,9.459290321070913,202.53653508550548,306.134896729776,0.49033672883677065,25.93097585220293,-145.22879,-172.36684,"[2, 15]","[20, 80]",25.137344
